,charge,color,commercial_license,commercial_vehicle,driver_city,hazmat,make,model,vehicle_type,violation_type,year
192,22-412.3(b),WHITE,No,No,LAUREL,No,FORD,TRK,02 - Automobile,Citation,2005
193,21-801.1,BLACK,No,No,OLNEY,No,JEEP,GRAND CHEROKEE,02 - Automobile,Citation,2014
194,13-411(f),MAROON,No,No,POTOMAC,No,MASERATI,Q4,02 - Automobile,Citation,2014
195,21-308(a),BLACK,No,No,LANDOVER,No,CHEVROLEY,TK - TAHOE,02 - Automobile,Citation,1999
196,13-411(d),MAROON,No,No,POTOMAC,No,MASERATI,Q4,02 - Automobile,Citation,2014
197,13-401(b1),MAROON,No,No,POTOMAC,No,MASERATI,Q4,02 - Automobile,Citation,2014
198,21-801.1,GRAY,No,No,HYATTSVILLE,No,TOYOTA,4DR,02 - Automobile,Citation,2010
199,16-301(e),RED,No,No,MONTGOMERY VILLAGE,No,CHEVROLET,CORVETTE,02 - Automobile,Citation,1992
200,21-405(b),RED,No,No,SILVER SPRING,No,VOLV,4S,02 - Automobile,Citation,2002
201,16-101(a1),BLUE,No,No,SILVER SPRING,No,FORD,F150,02 - Automobile,Citation,2011
202,21-801.1,SILVER,No,No,WASHINGTON,No,HOND,ACCORD,02 - Automobile,Citation,2014
203,16-101(a1),TAN,No,No,SILVER SPRING,No,TOYOTA,TK,02 - Automobile,Citation,2012
204,21-1102(a),SILVER,No,No,MONTGOMERY VILLAGE,No,NISSAN,MAXIMA,02 - Automobile,Citation,2004
205,21-801.1,BLUE,No,Yes,GERMANTOWN,No,FORD,TK,06 - Heavy Duty Truck,Citation,2006
206,21-707(a),YELLOW,No,No,SILVER SPRING,No,GMC,TRUCK,02 - Automobile,Citation,2007
207,13-409(b),TAN,No,No,SILVER SPRING,No,TOYOTA,TK,02 - Automobile,Citation,2012
208,13-401(h),TAN,No,No,SILVER SPRING,No,TOYOTA,TK,02 - Automobile,Citation,2012
209,21-1003(m),WHITE,No,No,GAITHERSBURG,No,CHEV,EXPRESS VAN,02 - Automobile,Citation,2008
210,21-1003(m),MAROON,No,No,GAITHERSBURG,No,TOYOTA,CAMRY,02 - Automobile,Citation,2013
211,21-1003(m),BLACK,No,No,GAITHERSBURG,No,TOYOTA,4RUNNER,02 - Automobile,Citation,1998
212,21-707(a),YELLOW,No,No,POTOMAC,No,MINI,COOPER,02 - Automobile,Citation,2004
213,21-201(a1),"BLUE, DARK",No,No,BALTIMORE,No,MERZ,TK,02 - Automobile,Citation,2015
214,13-411(a),"BLUE, DARK",No,No,BALTIMORE,No,MERZ,TK,02 - Automobile,Citation,2015
215,64*,GREEN,No,No,GERMANTOWN,No,MAZD,4S,02 - Automobile,ESERO,1999
216,21-201(a1),"BLUE, DARK",No,No,SILVER SPRING,No,TOYT,TK,02 - Automobile,Citation,2018
217,21-204(d),BEIGE,No,No,SILVER SPRING,No,FORD,TK,02 - Automobile,Citation,2000
218,21-201(a1),SILVER,No,No,SILVER SPRING,No,JEEP,SU,02 - Automobile,Citation,2014
219,21-201(a1),WHITE,No,No,WASHINGTON,No,FORD,SUV,02 - Automobile,Citation,2018
220,13-409(b),GOLD,No,No,SILVER SPRING,No,SUZ,VITARA,28 - Other,Warning,2006
221,17-104.2(b1),GOLD,No,No,SILVER SPRING,No,SUZ,VITARA,28 - Other,Warning,2006
222,13-409(b),"BLUE, DARK",No,No,SILVER SPRING,No,TOYT,COROLLA 4D,02 - Automobile,Warning,2007
223,17-104.2(b1),"BLUE, DARK",No,No,SILVER SPRING,No,TOYT,COROLLA 4D,02 - Automobile,Warning,2007
224,21-201(a1),WHITE,No,No,WINDSOR MILL,No,GMC,ENVOY,02 - Automobile,Warning,2003
225,13-409(b),BLACK,No,No,SILVER SPRING,No,HONDA,ACCORD,02 - Automobile,Citation,1995
226,21-201(a1),GRAY,No,No,SILVER SPRING,No,HONDA,ODYSSEY,02 - Automobile,Warning,2005
227,21-201(a1),RED,No,No,FAIRFIELD,No,TOYOTA,COROLLA,02 - Automobile,Warning,2015
228,16-301(j),BLUE,No,No,SILVER SPRING,No,HONDA,ACCORD,02 - Automobile,Citation,2008
229,22-412.3(b),RED,No,No,IJAMSVILLE,No,GMC,JIMMY,02 - Automobile,Citation,1992
230,16-113(h),GOLD,No,No,BETHESDA,No,TOYOTA,AVALON,02 - Automobile,Citation,2000
231,16-301(e),GOLD,No,No,DAMASCUS,No,MERC,MOUNTAINEER,02 - Automobile,Citation,2003
232,22-412.3(b),,No,No,WASHINGTON,No,MERCEDES,4DR,02 - Automobile,Citation,2003
233,13-411(d),WHITE,No,No,HERNDON,No,BMW,328I,02 - Automobile,Warning,2015
234,21-902(a2),BLACK,No,No,GAITHERSBURG,No,HOND,CRV,05 - Light Duty Truck,Citation,2007
235,21-801.1,WHITE,No,No,GERMANTOWN,No,MITSUBISHI,OUTLANDER,08 - Recreational Vehicle,Warning,2018
236,21-801.1,SILVER,No,No,NORTH POTOMAC,No,TOYT,4S,02 - Automobile,Citation,2006
237,21-201(a1),WHITE,No,No,SILVER SPRING,No,TOYOTA,CAMRY,02 - Automobile,Warning,2011
238,13-409(b),WHITE,No,No,SILVER SPRING,No,TOYOTA,CAMRY,02 - Automobile,Warning,2011
239,21-902(a1),WHITE,No,No,BELTSVILLE,No,TOYOTA,TUNDRA,02 - Automobile,Citation,2006
240,24-106(c),BLUE,No,No,GERMANTOWN,No,DODGE,CARAVAN,02 - Automobile,Warning,1999
241,16-112(c),BLUE,No,No,GERMANTOWN,No,DODGE,CARAVAN,02 - Automobile,Warning,1999
242,23-104,SILVER,No,No,SILVER SPRING,No,HYUNDAI,SONATA,02 - Automobile,Warning,2010
243,13-411(f),SILVER,No,No,SILVER SPRING,No,TOYOTA,CAMRY,02 - Automobile,Citation,2002
244,21-301(a),BLACK,No,No,ROCKVILLE,No,NISS,4D,02 - Automobile,Citation,2006
245,13-409(b),SILVER,No,No,SILVER SPRING,No,HYUNDAI,SONATA,02 - Automobile,Warning,2010
246,13-409(b),WHITE,No,No,SILVER SPRING,No,TOYOTA,SUV,02 - Automobile,Citation,2015
247,21-902(b1),GREEN,No,No,GAITHERSBURG,No,TOYOTA,YARIS,02 - Automobile,Citation,2012
248,20-105.1,BLACK,No,No,POOLESVILLE,No,FORD,EXPEDITION,02 - Automobile,Citation,2003
249,21-1124.2(d2),MAROON,No,No,SILVER SPRING,No,HONDA,CIV 4D,02 - Automobile,Citation,2014
250,21-902(a2),SILVER,No,No,BALTIMORE,No,HONDA,ACCORD,02 - Automobile,Citation,1997
251,21-801.1,BLACK,No,No,OLNEY,No,HYUN,TK,02 - Automobile,Citation,2011
252,21-601(a),"BLUE, DARK",No,No,BALTIMORE,No,MERZ,TK,02 - Automobile,Warning,2015
253,21-601(a),"BLUE, DARK",No,No,SILVER SPRING,No,TOYT,TK,02 - Automobile,Warning,2018
